id,month,week,storage_id,product_id,base_price,checkout_price,social_media_promotion,homepage_featured,num_orders,category,city,storage_type,num_orders_predict
23854,1,1,103,21093674,166.26,177.67,0,0,2,LLAVES DE IMPACTO,LIMA,STR_LMA,6.1
23855,1,1,102,21132395,2256.24,2388.96,0,0,1,REPUESTOS PARA EQUIPOS,AREQUIPA,STR_ARQ,2.1
23856,1,1,102,21044341,103.0,108.0,0,0,1,LIJADORAS,AREQUIPA,STR_ARQ,5.8
23857,1,1,102,21072631,1657.5,1787.5,0,0,1,MOTOSIERRAS,AREQUIPA,STR_ARQ,2.4
23858,1,1,103,21101852,749.84,815.36,0,0,2,MOTORES ELECTRICOS,LIMA,STR_LMA,4.25
23859,1,1,103,21031722,1670.66,1784.2,0,0,6,SIERRAS,LIMA,STR_LMA,5.0
23860,1,1,101,21072631,1657.5,1803.75,0,0,4,MOTOSIERRAS,CHORRILLOS,STR_LMS,3.2
23861,1,1,103,21093722,576.3,615.85,1,0,3,LLAVES DE IMPACTO,LIMA,STR_LMA,6.1
23862,1,1,103,21101900,1775.82,1949.92,0,0,3,MOTORES ELECTRICOS,LIMA,STR_LMA,3.35
23863,1,1,103,21113949,420.24,452.88,1,0,11,ELECTROBOMBAS,LIMA,STR_LMA,8.6
23864,1,1,102,21114101,760.14,841.32,0,0,11,BOMBAS,AREQUIPA,STR_ARQ,8.2
23865,1,1,103,21101828,1673.57,1822.7,0,0,6,MOTORES ELECTRICOS,LIMA,STR_LMA,4.85
23866,1,1,102,21021595,726.15,796.65,0,0,6,ESMERIL,AREQUIPA,STR_ARQ,5.95
23867,1,1,102,21010989,1702.38,1835.9,0,0,3,TALADROS Y DESARMADORES ELECTRICOS,AREQUIPA,STR_ARQ,3.4
23868,1,1,101,21114062,2982.53,3277.83,0,0,1,BOMBAS,CHORRILLOS,STR_LMS,1.55
23869,1,1,101,21072627,1311.19,1425.76,0,0,3,MOTOSIERRAS,CHORRILLOS,STR_LMS,3.0
23870,1,1,103,21031668,1356.6,1502.9,0,0,2,SIERRAS,LIMA,STR_LMA,1.9
23871,1,1,101,21061617,1164.93,1255.41,1,0,3,MARTILLOS ELECTRONEUMATICOS,CHORRILLOS,STR_LMS,3.3
23872,1,1,103,21061618,729.3,807.95,0,0,8,MARTILLOS ELECTRONEUMATICOS,LIMA,STR_LMA,5.25
23873,1,1,103,21101824,1370.93,1450.79,0,0,3,MOTORES ELECTRICOS,LIMA,STR_LMA,3.8
23874,1,1,103,21010935,362.59,387.72,0,0,5,TALADROS Y DESARMADORES ELECTRICOS,LIMA,STR_LMA,5.6
23875,1,1,102,21072633,1265.87,1401.06,0,0,4,MOTOSIERRAS,AREQUIPA,STR_ARQ,3.85
23876,1,1,103,21051970,871.63,949.3,0,0,1,COMPRESORAS,LIMA,STR_LMA,4.05
23877,1,1,103,21122141,7135.92,7905.48,1,0,2,GRUPOS ELECTROGENOS,LIMA,STR_LMA,1.95
23878,1,1,103,21101861,648.72,705.96,0,0,12,MOTORES ELECTRICOS,LIMA,STR_LMA,9.4
23879,1,1,101,21132547,2089.69,2358.66,0,0,5,REPUESTOS PARA EQUIPOS,CHORRILLOS,STR_LMS,4.55
23880,1,1,101,21011164,1271.02,1394.42,0,0,1,ACCESORIOS,CHORRILLOS,STR_LMS,3.2
23881,1,1,103,21122142,7134.9,7554.6,0,0,1,GRUPOS ELECTROGENOS,LIMA,STR_LMA,1.15
23882,1,1,103,21031682,1012.02,1092.18,0,0,5,SIERRAS,LIMA,STR_LMA,4.55
23883,1,1,101,21122139,4447.2,4796.0,0,0,3,GRUPOS ELECTROGENOS,CHORRILLOS,STR_LMS,3.2
