master_line,family,subfamily,category,product_id,description
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010880,ATORNILLADOR 12V  DCD700C2-B2 ( INCLUYE 2 BATERIAS)+ SIERRA CALADORA 650W DWE300-B2 DEWALT DCD700C2-K6
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010881,ATORNILLADOR DE IMPACTO BARETOOL 12V BOSCH GDR 12V-110
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010882,ATORNILLADOR DE IMPACTO BARETOOL 12V BOSCH GDR 120-LI
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010883,ATORNILLADOR INALAMBRICO 12V BOSCH GSR 1000 SMART
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010884,"ATORNILLADOR DE IMPACTO 18V 4 VEL/175 NM A-MODE/T-MODE/BL-XPT-LXT SIN BATERIAS 1/4"" MAKITA DTD171Z"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010885,ATORNILLADOR INALAMBRICO (SIN BATERIA) 18V GSB 18V-50 C BOSCH 0 601 9J5 1E0
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010886,ATORNILLADOR DE IMPACTO BARETOOL 18V GDX 18V-200 SB BOSCH 0601.9J2.2E0-000
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010887,ATORNILLADOR DE IMPACTO BARETOOL 18V BOSCH GDX 18V-200
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010888,"ATORNILLADOR DE IMPACTO 18V 1.5AH 180NM 1/2"" - 1/4"" BOSCH GDX 180-LI"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010889,"ATORNILLADOR DE IMPACTO 1/4"" 140NM + TALADRO PERCUTOR 1/2"" 1200 RPM 18V MAKITA DLX2414X7B"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010890,"ATORNILLADOR A BATERIA 18V 1700RPM M3/8 54NM, MP BOSCH 0.601.9F8.3E4"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010891,"ATORNILLADOR DE IMPACTO 20V 1/4"" DEWALT DCF887M2 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010892,"ATORNILLADOR INALAMBRICO 20V 1/4"" DEWALT DCF620D2 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010893,ATORNILLADOR ELECTRICO DRYWALL 220V BOSCH GTB 650
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010894,ATORNILLADOR INALAMBRICO GO 3.6V BOSCH 0601-9H2.1E 0-000
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010895,ATORNILLADOR INALAMBRICO 3.6V LITIO BOSCH GO (0601.9H2.1E0-000)
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010896,ATORNILLADOR ELECTRICO PARA DRYWALL 520W STANLEY STDR5206
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010897,ATORNILLADOR TALADRO GSB 18V-150C 2BATERIA + LBOX BOSCH 0601.9J5.1E1-000
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010898,ATORNILLADOR TALADRO PERCUTOR + LLAVE DE IMPACTO BOSCH 0601.9G8.0E4-000
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010899,"ATORNILLADOR DE IMPACTO HEX 1/4"" LXT 18V / 4 VEL. / 180 NM / 4 MODOS-BL-XPT / 2X5.0AH + C. RÁP +MAKP DTD172RTJ MAKITA"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010900,ATORNILLADOR DE IMPACTO SIW 22T-A HILTI 405033 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010901,ATORNILLADOR DE IMPACTO BOSCH GDS 18V 400
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010902,ATORNILLADOR A BATERIA BOSCH GSR 12V-15 FC
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010903,ATORNILLADOR INALAMBRICO DRYWALL BARETOOL BOSCH GSR 18V-EC TE
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010904,ATORNILLADOR INALAMBRICO BOSCH GO 2.0
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010905,ATORNILLADOR INALAMBRICO SBT 4-A22 HILTI 2180532
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010906,COMBO 12V TALADRO PERCUTOR/ATORNILLADOR GSB 120 LI + LLAVE DE IMPACTO GDR 120 LI BOSCH GSB 120-LI + GDR 120-LI
